ts_ms,meta.heartbeat.type,meta.heartbeat.ts_ms,meta.heartbeat.uptime_ms,meta.heartbeat.ip,meta.heartbeat.port,meta.heartbeat.token,meta.heartbeat.ws_url
1762231008135,,1762231008135,2169994,,,,
1762231013136,,1762231013136,2174995,,,,
1762231018134,,1762231018134,2179993,,,,
1762231023135,,1762231023135,2184994,,,,
1762231028134,,1762231028134,2189993,,,,
1762231033134,,1762231033134,2194993,,,,
1762231038134,,1762231038134,2199993,,,,
1762231043134,,1762231043134,2204993,,,,
1762231048135,,1762231048135,2209994,,,,
1762231058134,,1762231058134,2219993,,,,
1762231063134,,1762231063134,2224993,,,,
1762231068134,,1762231068134,2229993,,,,
1762231073134,,1762231073134,2234993,,,,
1762231078134,,1762231078134,2239993,,,,
1762231083136,,1762231083136,2244995,,,,
1762231146844,,1762231146844,5002,,,,
1762231151797,,1762231151797,9955,,,,
1762231156797,,1762231156797,14955,,,,
1762231161797,,1762231161797,19955,,,,
1762231166797,,1762231166797,24955,,,,
1762231171797,,1762231171797,29955,,,,
1762231176797,,1762231176797,34955,,,,
1762231181797,,1762231181797,39955,,,,
1762231186797,,1762231186797,44955,,,,
1762231191797,,1762231191797,49955,,,,
1762231196797,,1762231196797,54955,,,,
1762231201799,,1762231201799,59957,,,,
1762231206799,,1762231206799,64957,,,,
1762231211797,,1762231211797,69955,,,,
1762231216798,,1762231216798,74956,,,,
1762231221800,,1762231221800,79958,,,,
1762231226798,,1762231226798,84956,,,,
1762231231797,,1762231231797,89955,,,,
1762231236798,,1762231236798,94956,,,,
1762231241799,,1762231241799,99957,,,,
1762231246797,,1762231246797,104955,,,,
1762231251798,,1762231251798,109956,,,,
1762231256797,,1762231256797,114955,,,,
1762231261797,,1762231261797,119955,,,,
1762231266799,,1762231266799,124957,,,,
1762231271797,,1762231271797,129955,,,,
1762231276798,,1762231276798,134956,,,,
1762231281798,,1762231281798,139956,,,,
1762231286798,,1762231286798,144956,,,,
1762231291797,,1762231291797,149955,,,,
1762231296797,,1762231296797,154955,,,,
1762231301797,,1762231301797,159955,,,,
1762231306799,,1762231306799,164957,,,,
1762231311799,,1762231311799,169957,,,,
1762231316797,,1762231316797,174955,,,,
1762231321799,,1762231321799,179957,,,,
1762231326798,,1762231326798,184956,,,,
